No,Date,Time,Train filename,Test filename,Word embedding,Char embedding,Total unique word,Total unique char,Unique OOV,Padsize,Char padsize,Trainable,MergeGRU Char,MergeGRU Word,Dropout,Dropout GRU,Model,Merge Layer,Optimizer,Loss,Load wgt,Name wgt,Epoch,Batch,F-1 Macro,F-1 Micro,Save wgt,Saved name wgt
no,,,id-ud-train.pos,id-ud-test.pos,rang_word2vec.vec,rang_word2vec-char.vec,122408,181,986,152,25,True,sum,sum,,0.1,1,0,adam,logcosh,n,,1,16,0.7550876194,0.8387985933,n,
no,2018-05-03,10:22,id-ud-train.pos,id-ud-test.pos,rang_fasttext.vec,rang_fasttext-char.vec,122408,181,986,152,25,True,sum,sum,,0.1,1,0,adam,logcosh,n,,1,16,0.8066711826,0.8512498812,n,
no,2018-05-03,10:42,id-ud-train.pos,id-ud-test.pos,rang_fasttext.vec,rang_fasttext-char.vec,122425,181,974,64,25,True,sum,sum,,0.1,1,0,adam,logcosh,n,,1,16,0.7990854257,0.84842378,n,
no,2018-05-05,16:27,id-ud-train.pos,id-ud-test.pos,polyglot.vec,polyglot-char.vec,104036,181,400,64,25,True,sum,concat,,0.2,1,1,adam,binary_crossentropy,n,,3,8,0.8617537182,0.9178649542,n,
no,2018-05-05,23:39,id-ud-train.pos,id-ud-test.pos,polyglot.vec,polyglot-char.vec,104036,181,400,64,25,True,sum,concat,,0.2,1,1,adagrad,categorical_crossentropy,n,,3,8,0.8573654553,0.9149797571,n,
no,2018-05-10,19:04,id-ud-train.pos,id-ud-test.pos,polyglot.vec,polyglot-char.vec,104036,181,409,100,25,True,sum,sum,,0,1,1,adagrad,categorical_crossentropy,n,,3,8,0.8590762765,0.9172568191,y,917-05101904
no,2018-05-10,21:41,id-ud-train.pos,id-ud-test.pos,polyglot.vec,polyglot-char.vec,104036,181,409,100,25,True,concat,concat,,0,2,0,adam,logcosh,n,,1,16,0.2463438991,0.4790134529,y,05-10_21:41_479
no,2018-05-10,21:54,id-ud-train.pos,id-ud-test.pos,polyglot.vec,polyglot-char.vec,104036,181,409,100,25,True,sum,concat,,0,3,6,adam,logcosh,n,,1,16,0.6969964276,0.8924018824,y,05-10_21:54_892
no,2018-05-10,23:15,id-ud-train.pos,id-ud-test.pos,polyglot.vec,polyglot-char.vec,104036,181,409,100,25,True,concat,concat,,"Tensor(""dropout_1/cond/Merge:0"", shape=(?, 100, 64), dtype=float32)",3,0,adam,logcosh,n,,1,16,0.6531123533,0.8918536117,y,05-10_23:15_892
no,2018-05-12,00:21,id-ud-train.pos,id-ud-test.pos,polyglot.vec,polyglot-char.vec,103589,181,412,100,25,True,sum,concat,,"Tensor(""dropout_1/cond/Merge:0"", shape=(?, 100, 64), dtype=float32)",3,1,adagrad,categorical_crossentropy,n,,3,32,0.8479152297,0.9101626759,y,05-12_00:21_910
no,2018-05-11,13:27,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,sum,sum,0.5,0.0,3,1,rmsprop,categorical_crossentropy,n,,9,32,0.84952121908657341,0.91316668781457511,y,05-11_13:27_913
